ID,total_logins,tot_good,tot_bad,time_good,time_bad

text21.csv------------------------------------------------------------
ast103,[17],[16],[1],"[14.0, 5.0, 25.0, 25.0, 4.0, 6.0, 4.0, 16.0, 4.0, 3.0, 7.0, 5.0, 6.0, 55.0, 13.0, 3.0]",[18.0]
ast104,[26],[16],[10],"[27.0, 10.0, 11.0, 9.0, 8.0, 9.0, 14.0, 11.0, 22.0, 11.0, 9.0, 7.0, 11.0, 13.0, 22.0, 13.0, 14.0, 19.0]","[14.0, 12.0, 26.0, 13.0, 11.0, 10.0, 13.0, 8.0, 19.0, 14.0]"
ast105,[15],[12],[3],"[7.0, 9.0, 7.0, 12.0, 5.0, 7.0, 7.0, 5.0, 4.0, 6.0, 8.0, 8.0]","[14.0, 4.0, 7.0]"
ast107,[21],[15],[6],"[4.0, 7.0, 9.0, 7.0, 7.0, 5.0, 4.0, 3.0, 3.0, 4.0, 6.0, 3.0, 4.0, 6.0, 5.0]","[6.0, 5.0, 4.0, 15.0, 5.0, 4.0]"
ast108,[19],[19],[0],"[3.0, 4.0, 3.0, 2.0, 3.0, 4.0, 4.0, 7.0, 3.0, 3.0, 4.0, 3.0, 7.0, 14.0, 28.0, 4.0, 3.0, 3.0, 3.0, 3.0]",[]
ast111,[20],[12],[8],"[6.0, 10.0, 9.0, 8.0, 6.0, 7.0, 10.0, 11.0, 5.0, 6.0, 165.0, 8.0]","[13.0, 19.0, 7.0, 6.0, 7.0, 11.0, 5.0, 5.0]"
ast112,[15],[15],[0],"[6.0, 7.0, 7.0, 7.0, 6.0, 7.0, 6.0, 7.0, 7.0, 7.0, 6.0, 11.0, 13.0, 10.0, 9.0]",[]
ast114,[22],[15],[7],"[8.0, 7.0, 12.0, 8.0, 22.0, 8.0, 35.0, 14.0, 11.0, 10.0, 20.0, 8.0, 9.0, 10.0, 12.0, 8.0]","[7.0, 12.0, 14.0, 10.0, 7.0, 7.0, 12.0]"
ast115,[15],[15],[0],"[5.0, 6.0, 25.0, 15.0, 7.0, 6.0, 9.0, 20.0, 10.0, 16.0, 5.0, 12.0, 16.0, 9.0, 7.0]",[]
ast116,[15],[15],[0],"[6.0, 5.0, 8.0, 7.0, 5.0, 4.0, 4.0, 6.0, 7.0, 6.0, 6.0, 4.0, 9.0, 7.0, 5.0]",[]
ast118,[16],[15],[1],"[5.0, 7.0, 7.0, 6.0, 6.0, 7.0, 7.0, 9.0, 8.0, 8.0, 7.0, 11.0, 9.0, 9.0, 11.0]",[9.0]
ast125,[18],[15],[3],"[6.0, 5.0, 15.0, 7.0, 4.0, 5.0, 5.0, 4.0, 4.0, 4.0, 6.0, 4.0, 6.0, 7.0, 14.0]","[4.0, 8.0, 6.0]"
ast131,[21],[15],[6],"[6.0, 19.0, 30.0, 10.0, 7.0, 7.0, 25.0, 9.0, 8.0, 8.0, 17.0, 8.0, 13.0, 7.0, 7.0]","[11.0, 8.0, 8.0, 53.0, 49.0, 9.0, 77.0, 50.0]"
ast133,[9],[9],[0],"[12.0, 16.0, 25.0, 10.0, 9.0, 22.0, 10.0, 16.0, 11.0]",[]
ast134,[15],[15],[0],"[5.0, 5.0, 5.0, 13.0, 5.0, 6.0, 5.0, 4.0, 10.0, 7.0, 5.0, 16.0, 5.0, 11.0, 11.0]",[]
ast135,[4],[3],[1],"[7.0, 6.0, 9.0]",[5.0]
ast136,[15],[15],[0],"[8.0, 23.0, 8.0, 8.0, 15.0, 8.0, 11.0, 8.0, 10.0, 9.0, 8.0, 10.0, 10.0, 12.0, 7.0]",[]
ast138,[16],[16],[0],"[16.0, 13.0, 17.0, 17.0, 11.0, 11.0, 11.0, 12.0, 31.0, 16.0, 24.0, 11.0, 18.0, 14.0, 14.0]",[]


imagept21.csv------------------------------------------------------------
ipt101,[32],[16],[16],"[8.0, 13.0, 11.0, 11.0, 10.0, 18.0, 13.0, 11.0, 10.0, 10.0, 6.0, 12.0, 16.0, 11.0, 10.0, 12.0]","[16.0, 8.0, 31.0, 16.0, 8.0, 23.0, 16.0, 43.0, 40.0, 22.0, 32.0, 17.0, 19.0, 19.0]"
ipt104,[12],[12],[0],"[22.0, 34.0, 20.0, 21.0, 9.0, 25.0, 30.0, 27.0, 19.0, 22.0, 15.0, 19.0]",[]
ipt105,[22],[15],[7],"[7.0, 6.0, 7.0, 5.0, 9.0, 10.0, 7.0, 8.0, 7.0, 6.0, 10.0, 33.0, 10.0, 6.0, 6.0]","[11.0, 7.0, 7.0, 14.0, 28.0, 17.0]"
ipt106,[21],[15],[6],"[6.0, 4.0, 8.0, 10.0, 18.0, 19.0, 12.0, 10.0, 8.0, 14.0, 16.0, 11.0]","[9.0, 12.0, 5.0, 7.0]"
